"","X0.2","X0.5","X1"
"116",0.092,0.509,0.859
"117",0.151,0.621,0.889
"118",0.23,0.744,0.929
"119",0.175,0.704,0.913
"120",0.21,0.707,0.922
"121",0.205,0.691,0.926
"122",0.282,0.81,0.95
"123",0.136,0.589,0.879
"124",0.176,0.659,0.902
"125",0.303,0.798,0.938
"126",0.135,0.666,0.91
"127",0.126,0.582,0.86
"128",0.066,0.479,0.85
"129",0.145,0.673,0.939
"130",0.301,0.739,0.95
"131",0.196,0.723,0.924
"132",0.275,0.8,0.955
"133",0.247,0.733,0.926
"134",0.287,0.798,0.948
"135",0.232,0.706,0.932
"136",0.265,0.775,0.931
"137",0.182,0.624,0.902
"138",0.207,0.751,0.945
"139",0.251,0.724,0.926
"140",0.209,0.742,0.956
"141",0.268,0.741,0.944
"142",0.207,0.752,0.922
"143",0.236,0.717,0.927
"144",0.17,0.592,0.9
"145",0.184,0.633,0.922
"146",0.171,0.675,0.91
"147",0.342,0.824,0.96
"148",0.234,0.727,0.915
"149",0.196,0.73,0.885
"150",0.154,0.517,0.854
"151",0.151,0.471,0.853
"152",0.257,0.775,0.951
"153",0.119,0.722,0.922
"154",0.366,0.821,0.944
"155",0.109,0.607,0.891
"156",0.282,0.794,0.944
"157",0.221,0.766,0.956
"158",0.201,0.723,0.926
"159",0.34,0.828,0.959
"160",0.082,0.579,0.867
"161",0.207,0.719,0.926
"162",0.334,0.853,0.957
"163",0.305,0.795,0.964
"164",0.189,0.668,0.888
"165",0.292,0.758,0.929
"166",0.201,0.719,0.902
"167",0.298,0.867,0.96
"168",0.179,0.654,0.882
"169",0.251,0.734,0.93
"170",0.424,0.879,0.982
"171",0.308,0.814,0.946
"172",0.054,0.507,0.862
"173",0.136,0.64,0.886
"174",0.227,0.751,0.936
"175",0.211,0.697,0.935
"176",0.275,0.786,0.943
"177",0.238,0.732,0.923
"178",0.195,0.707,0.931
"179",0.221,0.741,0.929
"180",0.215,0.703,0.935
"181",0.191,0.687,0.926
"182",0.254,0.764,0.932
"183",0.265,0.753,0.935
"184",0.178,0.617,0.91
"185",0.228,0.735,0.916
"186",0.28,0.8,0.962
"187",0.266,0.767,0.941
"188",0.215,0.727,0.925
"189",0.105,0.566,0.882
"190",0.283,0.809,0.963
"191",0.34,0.868,0.981
"192",0.22,0.729,0.904
"193",0.336,0.846,0.955
"194",0.27,0.815,0.937
"195",0.343,0.84,0.949
"196",0.254,0.762,0.945
"197",0.164,0.683,0.92
"198",0.203,0.737,0.939
"199",0.238,0.733,0.932
"200",0.272,0.716,0.912
"201",0.244,0.786,0.95
"202",0.126,0.587,0.896
"203",0.197,0.681,0.906
"204",0.223,0.709,0.921
"205",0.225,0.765,0.96
"206",0.21,0.685,0.901
"207",0.264,0.846,0.96
"208",0.172,0.682,0.926
"209",0.247,0.755,0.947
"210",0.2,0.743,0.944
"211",0.099,0.303,0.773
"212",0.313,0.818,0.964
"213",0.191,0.731,0.913
"214",0.302,0.783,0.946
"215",0.13,0.579,0.875
