# index, pos, _pos
198,"array([  3.64, 929.04])","array([-3.84666362,  2.66844711])"
199,"array([   3.69, 1002.84])","array([-3.5611399 ,  2.17755501])"
200,"array([  3.7, 529.5])","array([-4.51640821,  4.06730854])"
201,"array([  3.79, 104.13])","array([-4.03350152,  6.07879729])"
202,"array([  3.82, 743.52])","array([-4.29944864,  3.20253633])"
203,"array([  3.97, 978.43])","array([-3.74030035,  2.58703752])"
204,"array([300.04, 351.76])","array([-3.15905105,  6.8972684 ])"
205,"array([ 303.33, 1107.92])","array([-2.54299661,  2.3096676 ])"
206,"array([ 309.  , 1131.28])","array([-2.40285345,  1.73210013])"
207,"array([311.36, 338.56])","array([-3.19609005,  6.65486324])"
208,"array([ 312.27, 1557.33])","array([4.08219408, 1.87452446])"
209,"array([317.79,  -2.  ])","array([-4.2265052 ,  6.51781112])"
210,"array([ 320.35, 1142.96])","array([-2.29166402,  1.8495241 ])"
211,"array([322.85, 929.28])","array([-2.69157061,  3.15570091])"
212,"array([324.14, 858.18])","array([-3.11302759,  3.34253096])"
213,"array([328.8 , 472.48])","array([-2.90753413,  7.27863435])"
214,"array([ 33.34, 822.24])","array([-4.17798141,  2.99560547])"
215,"array([330.19, 917.17])","array([-2.75382729,  3.17861937])"
216,"array([ 333.19, 1195.85])","array([-2.11481618,  2.04634864])"
217,"array([ 333.45, 1557.94])","array([3.89509945, 1.88787766])"
218,"array([ 336.2 , 1301.98])","array([-1.80570418,  1.75111945])"
219,"array([336.82, 434.76])","array([-2.98250387,  7.08758066])"
220,"array([337.7 , 238.04])","array([-3.54156376,  6.53852763])"
221,"array([339.37, 717.16])","array([-3.42212583,  3.89187091])"
222,"array([339.92, 974.24])","array([-2.9105705 ,  2.57283827])"
223,"array([341.06, 574.33])","array([-2.63133725,  7.26384887])"
224,"array([341.09,  -2.  ])","array([-4.3855052 ,  6.53742647])"
225,"array([342.12, 827.07])","array([-3.0470275 ,  3.48885039])"
226,"array([347.26, 791.84])","array([-3.23400174,  3.78170049])"
227,"array([348.14, 359.31])","array([-2.97539282,  6.72542652])"
228,"array([ 352.55, 1210.54])","array([-1.85841628,  2.14185675])"
