# index, pos, _pos
248,"array([544.85, 426.89])","array([3.32651502, 8.90320151])"
249,"array([559.08, 414.94])","array([3.40236235, 9.04351267])"
250,"array([559.65, 825.19])","array([2.70478331, 8.6608647 ])"
251,"array([578.43, 323.9 ])","array([3.56960541, 8.97497865])"
252,"array([588.67, 846.24])","array([2.59017214, 8.75988974])"
253,"array([590.94, 550.36])","array([3.12341463, 8.8300093 ])"
254,"array([ 596.63, 1307.13])","array([1.95381113, 8.50439605])"
255,"array([  6.58, 329.02])","array([3.56276414, 7.9723566 ])"
256,"array([ 608.01, 1337.85])","array([1.8499157 , 8.40301915])"
257,"array([ 61.21, 480.38])","array([3.4790524 , 7.92879893])"
258,"array([ 610.86, 1464.74])","array([1.59124896, 8.2486824 ])"
259,"array([ 62.91, 698.3 ])","array([3.05882919, 7.70679807])"
260,"array([ 621.1 , 1082.38])","array([2.31899264, 8.6124359 ])"
261,"array([621.1 , 700.01])","array([2.9369557 , 8.71219951])"
262,"array([630.77, 198.72])","array([3.67449587, 8.97265212])"
263,"array([634.19, 723.34])","array([2.71063821, 8.85534252])"
264,"array([637.6 , 703.99])","array([2.8848764 , 8.85108219])"
265,"array([639.88, 325.04])","array([3.51463036, 9.12337958])"
266,"array([650.12, 480.95])","array([3.21136979, 8.92274009])"
267,"array([658.65, 603.28])","array([3.01627766, 8.96269251])"
268,"array([ 663.77, 1348.1 ])","array([1.72787535, 8.49104329])"
269,"array([671.74, 210.1 ])","array([3.6215746 , 9.16259711])"
270,"array([ 676.86, 1143.83])","array([2.1426001 , 8.63090487])"
271,"array([679.71, 478.67])","array([3.18884977, 9.03189504])"
272,"array([680.84, 990.77])","array([2.47702413, 8.77255416])"
273,"array([  69.74, 1444.83])","array([1.69619213, 7.15672136])"
274,"array([692.22, 406.98])","array([3.34452457, 9.14010118])"
275,"array([ 697.91, 1352.65])","array([1.75020164, 8.6369683 ])"
276,"array([702.47, 328.45])","array([3.46581124, 9.28824123])"
277,"array([ 712.14, 1037.99])","array([2.33149804, 8.79843947])"
278,"array([719.54, 221.48])","array([3.59158063, 9.36015185])"
279,"array([724.09, 874.69])","array([2.5415902 , 8.89554884])"
280,"array([728.07, 652.21])","array([2.87603932, 9.10142153])"
281,"array([ 729.78, 1242.26])","array([1.97698292, 8.65003912])"
282,"array([ 737.74, 1439.14])","array([1.59622682, 8.44159168])"
283,"array([741.16, 826.9 ])","array([2.61122884, 8.9549343 ])"
284,"array([ 746.28, 1105.14])","array([2.19505391, 8.805928  ])"
285,"array([ 757.09, 1295.75])","array([1.84689958, 8.70579692])"
286,"array([  76.57, 1329.89])","array([1.99310243, 7.20534807])"
287,"array([786.11, 989.06])","array([2.33891677, 8.99005181])"
288,"array([ 786.68, 1365.17])","array([1.72430812, 8.7627474 ])"
289,"array([788.95, 880.38])","array([2.53374097, 9.07118702])"
290,"array([ 790.66, 1083.51])","array([2.16150459, 8.98544974])"
291,"array([797.49, 706.84])","array([2.72984309, 9.23261654])"
292,"array([ 798.06, 1428.89])","array([1.52866568, 8.61184675])"
293,"array([806.59, 603.28])","array([2.90572573, 9.36209342])"
294,"array([808.3 , 534.43])","array([3.06231177, 9.43050838])"
295,"array([811.71, 455.91])","array([3.22601179, 9.49738629])"
296,"array([813.99, 897.45])","array([2.41124648, 9.1951934 ])"
297,"array([816.27, 236.28])","array([3.62106891, 9.58301574])"
298,"array([816.27, 277.24])","array([3.43929184, 9.49974594])"
299,"array([  82.26, 1348.1 ])","array([1.8787359 , 7.19277289])"
300,"array([825.94,  22.9 ])","array([3.83174735, 9.67758677])"
301,"array([ 826.51, 1244.54])","array([1.94088574, 8.77898138])"
302,"array([839.59, 738.7 ])","array([2.64791569, 9.42123771])"
303,"array([847.56, 296.02])","array([3.4454988 , 9.67231186])"
304,"array([ 849.27, 1416.38])","array([1.52866061, 8.79544354])"
305,"array([849.84, 945.82])","array([2.28749929, 9.12728896])"
306,"array([853.82, 574.26])","array([2.98574572, 9.48639911])"
307,"array([869.75, 838.28])","array([2.38447648, 9.36755085])"
308,"array([ 87.95, 750.65])","array([2.98489446, 7.82102235])"
309,"array([872.6 , 701.15])","array([2.70534916, 9.55899003])"
310,"array([ 883.41, 1381.1 ])","array([1.63213327, 8.90014488])"
311,"array([885.11, 607.83])","array([2.91290588, 9.58569993])"
312,"array([897.06, 525.33])","array([3.09208217, 9.58071225])"
