# index, pos, _pos
280,"array([270.17, 932.1 ])","array([0.92289667, 3.19071423])"
281,"array([276.61,  91.17])","array([-0.6167644 ,  4.16737486])"
282,"array([ 286.73, 1449.36])","array([1.77303725, 2.44723249])"
283,"array([286.84,  56.22])","array([-0.64964193,  4.2289518 ])"
284,"array([287.69, 371.58])","array([-0.05857297,  3.87454021])"
285,"array([ 29.38, 738.05])","array([0.77619266, 3.51897001])"
286,"array([ 297.09, 1120.57])","array([1.40191845, 2.77524665])"
287,"array([ 30.72, 331.95])","array([0.34428297, 4.14520714])"
288,"array([ 307.25, 1384.72])","array([1.67583962, 2.5265667 ])"
289,"array([307.76, 823.4 ])","array([0.80817122, 3.24420628])"
290,"array([309. ,  65.6])","array([-0.706025  ,  4.11844371])"
291,"array([309.85, 257.37])","array([-0.25080652,  4.0102895 ])"
292,"array([ 31.95, 462.07])","array([0.438004  , 3.86234992])"
293,"array([325.62, 325.98])","array([-0.14585856,  3.87731734])"
294,"array([ 328.58, 1316.65])","array([1.58190528, 2.59063916])"
295,"array([328.6, 176.4])","array([-0.34317879,  4.10609334])"
296,"array([ 331.63, 1128.7 ])","array([1.34176913, 2.70731005])"
297,"array([334.57,  17.02])","array([-0.76877615,  4.0134599 ])"
298,"array([ 337.22, 1025.57])","array([1.19607884, 2.90029947])"
299,"array([346.36, 707.57])","array([0.64922363, 3.28885191])"
300,"array([  35.98, 1152.06])","array([1.53607662, 3.21971501])"
301,"array([  35.98, 1262.81])","array([1.72907155, 3.14413447])"
302,"array([ 350.94, 1105.33])","array([1.24629866, 2.73671794])"
303,"array([ 352.97, 1246.55])","array([1.47043758, 2.57564293])"
304,"array([361.84, 182.37])","array([-0.43220128,  4.05272589])"
305,"array([364.4 , 278.68])","array([-0.23482217,  3.90119654])"
306,"array([368.66, 637.5 ])","array([0.53687884, 3.37666656])"
307,"array([ 370.24, 1545.25])","array([1.80346687, 2.31526873])"
308,"array([371.22, 144.87])","array([-0.52937939,  4.07434569])"
309,"array([376.33, 119.3 ])","array([-0.62359447,  4.0811402 ])"
310,"array([381.92, 604.96])","array([0.40753076, 3.36627236])"
311,"array([ 383.45, 1146.98])","array([1.36879967, 2.61362405])"
312,"array([387.41, 459.37])","array([-0.04306567,  3.74386197])"
313,"array([387.84, 578.27])","array([0.29184103, 3.45387856])"
314,"array([390.82, 191.74])","array([-0.43702519,  3.95373026])"
315,"array([ 391.57, 1481.24])","array([1.71690946, 2.37520605])"
316,"array([391.67, 294.87])","array([-0.27494675,  3.7999675 ])"
317,"array([ 397.67, 1148.  ])","array([1.2692012 , 2.58051006])"
318,"array([401.05, 151.68])","array([-0.52486257,  3.97287651])"
319,"array([ 403.26, 1040.81])","array([1.16532338, 2.79947988])"
320,"array([404.46, 544.6 ])","array([0.1025881 , 3.42611576])"
321,"array([ 405.8 , 1118.54])","array([1.21530702, 2.66085387])"
322,"array([407.87, 132.08])","array([-0.60670258,  3.98074568])"
323,"array([409.35, 857.94])","array([0.81410357, 3.13607376])"
324,"array([ 41.57, 601.91])","array([0.6686103 , 3.54398144])"
325,"array([ 413.93, 1418.25])","array([1.59255854, 2.38585934])"
